,characters,raw_text,scene_id,cAGR,cCON,cEXT,cOPN,cNEU,single_text,full,single_context
0,Phoebe Buffay,"<b>s01_e12_c08(0) for Phoebe Buffay</b><br><br><b>Monica Geller</b>: Well, what happened?<br><br><b>Phoebe Buffay</b>: Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)<br><br>[Cut back to Central Perk.]<br><br><b>Chandler, Joey, Ross</b>: Ooooohh!<br><br><b>Ross Geller</b>: My God.<br><br><b>Monica Geller</b>: Are you sure?<br><br>(The flashback resumes with Paolo grabbing her butt.)<br><br>[Cut back to Central Perk.]<br><br><b>Phoebe Buffay</b>: Oh yeah, I'm sure. (Flashback resumes with Phoebe doing a voiceover.) And all of a sudden his hands weren't the problem anymore. (Flashback continues: Paolo rolls over, Phoebe looks down, then quickly looks up, bites lip, shakes her head)<br><br><b>Monica Geller</b>: Was it...?<br><br><b>Phoebe Buffay</b>: Oh, boy scouts could have camped under there.<br><br><b>Guys</b>: Oooooo....<br><br>(Rachel runs over)<br><br><b>Rachel Green</b>: ""Ooo,"" what?<br><br><b>Phoebe Buffay</b>: Uma Thurman.<br><br>",01_e12_c08(0) ,False,False,True,True,True," speaker0 Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.) speaker0 Oh yeah, I'm sure. (Flashback resumes with Phoebe doing a voiceover.) And all of a sudden his hands weren't the problem anymore. (Flashback continues: Paolo rolls over, Phoebe looks down, then quickly looks up, bites lip, shakes her head) speaker0 Oh, boy scouts could have camped under there. speaker0 Uma Thurman."," speaker1 Well, what happened? speaker0 Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.) [Cut back to Central Perk.] speaker1 Ooooohh! speaker1 My God. speaker1 Are you sure? (The flashback resumes with Paolo grabbing her butt.) [Cut back to Central Perk.] speaker0 Oh yeah, I'm sure. (Flashback resumes with Phoebe doing a voiceover.) And all of a sudden his hands weren't the problem anymore. (Flashback continues: Paolo rolls over, Phoebe looks down, then quickly looks up, bites lip, shakes her head) speaker1 Was it...? speaker0 Oh, boy scouts could have camped under there. speaker1 Oooooo.... (Rachel runs over) speaker1 ""Ooo,"" what? speaker0 Uma Thurman. "," speaker0 Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.) speaker0 Oh yeah, I'm sure. (Flashback resumes with Phoebe doing a voiceover.) And all of a sudden his hands weren't the problem anymore. (Flashback continues: Paolo rolls over, Phoebe looks down, then quickly looks up, bites lip, shakes her head) speaker0 Oh, boy scouts could have camped under there. speaker0 Uma Thurman. speaker1 Well, what happened? [Cut back to Central Perk.] speaker1 Ooooohh! speaker1 My God. speaker1 Are you sure? (The flashback resumes with Paolo grabbing her butt.) [Cut back to Central Perk.] speaker1 Was it...? speaker1 Oooooo.... (Rachel runs over) speaker1 ""Ooo,"" what? "
1,Rachel,"<b>s03_e24_c04(0) for Rachel</b><br><br><b>Monica</b>: (to Chandler) Anything but stew.<br><br><b>Ross</b>: All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him.<br><br><b>Joey</b>: Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?<br><br><b>Chandler</b>: (to Ross and Monica) What if Joey were president?<br><br>(Monica, Ross, Chandler, and Joey exit.)<br><br><b>Phoebe</b>: Umm, hey Rach, can I ask you something?<br><br><b>Rachel</b>: Yeah.<br><br><b>Phoebe</b>: Okay, you can totally say no, but umm, would it be okay with you if I set Ross up on a date?<br><br><b>Rachel</b>: Oh, ah with who?<br><br>",03_e24_c04(0) ,False,False,True,True,False," speaker0 Yeah. speaker0 Oh, ah with who?"," speaker1 (to Chandler) Anything but stew. speaker1 All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him. speaker1 Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad? speaker1 (to Ross and Monica) What if Joey were president? (Monica, Ross, Chandler, and Joey exit.) speaker1 Umm, hey Rach, can I ask you something? speaker0 Yeah. speaker1 Okay, you can totally say no, but umm, would it be okay with you if I set Ross up on a date? speaker0 Oh, ah with who? "," speaker0 Yeah. speaker0 Oh, ah with who? speaker1 (to Chandler) Anything but stew. speaker1 All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him. speaker1 Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad? speaker1 (to Ross and Monica) What if Joey were president? (Monica, Ross, Chandler, and Joey exit.) speaker1 Umm, hey Rach, can I ask you something? speaker1 Okay, you can totally say no, but umm, would it be okay with you if I set Ross up on a date? "
2,Eddie,"<b>s02_e19_c06(0) for Eddie</b><br><br><b>Eddie</b>: Hey pal.<br><br><b>Chandler Bing</b>: Ahhhh-gaaaahhh. Eddie what're you still doin' here?<br><br><b>Eddie</b>: Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!<br><br><b>Chandler Bing</b>: Look Eddie, aren't you forgetting anything?<br><br><b>Eddie</b>: Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one.<br><br><b>Chandler Bing</b>: Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now?<br><br>",02_e19_c06(0) ,True,True,True,True,True," speaker0 Hey pal. speaker1 Ahhhh-gaaaahhh. Eddie what're you still doin' here? speaker0 Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic! speaker1 Look Eddie, aren't you forgetting anything? speaker0 Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one. speaker1 Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now?"," speaker0 Hey pal. speaker1 Ahhhh-gaaaahhh. Eddie what're you still doin' here? speaker0 Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic! speaker1 Look Eddie, aren't you forgetting anything? speaker0 Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one. speaker1 Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now? "," speaker0 Hey pal. speaker1 Ahhhh-gaaaahhh. Eddie what're you still doin' here? speaker0 Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic! speaker1 Look Eddie, aren't you forgetting anything? speaker0 Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one. speaker1 Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now? "
3,Phoebe Buffay,"<b>s02_e12_c05(0) for Phoebe Buffay</b><br><br><b>Chandler Bing</b>: Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore.<br><br><b>Rachel Green</b>: Oh my God.<br><br><b>Monica Geller</b>: Ah, and I mean, he's going out with her? He can not persue this.<br><br><b>Chandler Bing</b>: Hey, just because this woman thinks she can actually see Joey through the magical box in her living room doesn't mean she's not a person. I mean, does she not deserve happiness, does she not deserve love? What're you lookin' at me for? He's the one who wants to boff the maniac.<br><br><b>Rob</b>: You OK?<br><br><b>Phoebe Buffay</b>: No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear.<br><br><b>Rob</b>: That's not a good idea, that's kinda the reason the last guy got fired.<br><br>",02_e12_c05(0) ,True,False,True,True,True," speaker0 No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear."," speaker1 Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore. speaker1 Oh my God. speaker1 Ah, and I mean, he's going out with her? He can not persue this. speaker1 Hey, just because this woman thinks she can actually see Joey through the magical box in her living room doesn't mean she's not a person. I mean, does she not deserve happiness, does she not deserve love? What're you lookin' at me for? He's the one who wants to boff the maniac. speaker1 You OK? speaker0 No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear. speaker1 That's not a good idea, that's kinda the reason the last guy got fired. "," speaker0 No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear. speaker1 Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore. speaker1 Oh my God. speaker1 Ah, and I mean, he's going out with her? He can not persue this. speaker1 Hey, just because this woman thinks she can actually see Joey through the magical box in her living room doesn't mean she's not a person. I mean, does she not deserve happiness, does she not deserve love? What're you lookin' at me for? He's the one who wants to boff the maniac. speaker1 You OK? speaker1 That's not a good idea, that's kinda the reason the last guy got fired. "
4,Chandler Bing,"<b>s02_e22_c03(1) for Chandler Bing</b><br><br><b>Joey Tribbiani</b>: Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed.<br><br><b>Mr. Green</b>: Alright, that sounds like a two person job. [they walk into Rachel's bedroom]<br><br><b>Mrs. Green</b>: Well, my goodness, what was that?<br><br><b>Monica Geller</b>: Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet.<br><br><b>Mrs. Green</b>: You thought I was Rachel?<br><br><b>Chandler Bing</b>: Yes because uh, you look so young.<br><br><b>Phoebe Buffay</b>: And because you're both, you know, white women.<br><br><b>Mrs. Green</b>: Oh, I missed you kids. Well, should I put my coat in the bedroom?<br><br><b>Chandler Bing</b>: NO! No, I'll take that for ya.<br><br><b>Mrs. Green</b>: Oh well thank you. Such a gentleman. Thank you. [Chandler takes the hot pink coat and grimaces at it] Ahh, it all looks so nice, so festive, all the balloons... [Chandler, remembering that Joey and Mr. Greene are in the bedroom, throws her coat in a cupboard] The funniest thing happened to me on the way here. I was...[Joey peeks out]<br><br><b>Phoebe Buffay</b>: [cutting Mrs. Greene off] Ha-ha, that's great, ha-ha. I can't wait to hear the rest of it, ya know, but I really have to go to the bathroom so... Hey, come with me. Yeah, yeah, it'll be like we're gal pals, ya know, like at a restraunt. Oh, it'll be fun, c'mon. [they go in the bathroom]<br><br><b>Monica Geller</b>: Oh my God, oh my God, oh my God.<br><br><b>Chandler Bing</b>: Ok, think, what would Jack and Chrissy do?<br><br><b>Joey Tribbiani</b>: [peeks back out] Ok, now that your coat is safely in the bedr-, [sees that the coast is clear] oh, ok we can come back out in the living room.<br><br><b>Monica Geller</b>: So uh, Joey and Chanlder, I, I think it's time that you take Dr. Greene over to your place.<br><br>",02_e22_c03(1) ,False,False,False,False,False," speaker0 Yes because uh, you look so young. speaker0 NO! No, I'll take that for ya. speaker0 Ok, think, what would Jack and Chrissy do?"," speaker1 Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed. speaker1 Alright, that sounds like a two person job. [they walk into Rachel's bedroom] speaker1 Well, my goodness, what was that? speaker1 Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet. speaker1 You thought I was Rachel? speaker0 Yes because uh, you look so young. speaker1 And because you're both, you know, white women. speaker1 Oh, I missed you kids. Well, should I put my coat in the bedroom? speaker0 NO! No, I'll take that for ya. speaker1 Oh well thank you. Such a gentleman. Thank you. [Chandler takes the hot pink coat and grimaces at it] Ahh, it all looks so nice, so festive, all the balloons... [Chandler, remembering that Joey and Mr. Greene are in the bedroom, throws her coat in a cupboard] The funniest thing happened to me on the way here. I was...[Joey peeks out] speaker1 [cutting Mrs. Greene off] Ha-ha, that's great, ha-ha. I can't wait to hear the rest of it, ya know, but I really have to go to the bathroom so... Hey, come with me. Yeah, yeah, it'll be like we're gal pals, ya know, like at a restraunt. Oh, it'll be fun, c'mon. [they go in the bathroom] speaker1 Oh my God, oh my God, oh my God. speaker0 Ok, think, what would Jack and Chrissy do? speaker1 [peeks back out] Ok, now that your coat is safely in the bedr-, [sees that the coast is clear] oh, ok we can come back out in the living room. speaker1 So uh, Joey and Chanlder, I, I think it's time that you take Dr. Greene over to your place. "," speaker0 Yes because uh, you look so young. speaker0 NO! No, I'll take that for ya. speaker0 Ok, think, what would Jack and Chrissy do? speaker1 Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed. speaker1 Alright, that sounds like a two person job. [they walk into Rachel's bedroom] speaker1 Well, my goodness, what was that? speaker1 Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet. speaker1 You thought I was Rachel? speaker1 And because you're both, you know, white women. speaker1 Oh, I missed you kids. Well, should I put my coat in the bedroom? speaker1 Oh well thank you. Such a gentleman. Thank you. [Chandler takes the hot pink coat and grimaces at it] Ahh, it all looks so nice, so festive, all the balloons... [Chandler, remembering that Joey and Mr. Greene are in the bedroom, throws her coat in a cupboard] The funniest thing happened to me on the way here. I was...[Joey peeks out] speaker1 [cutting Mrs. Greene off] Ha-ha, that's great, ha-ha. I can't wait to hear the rest of it, ya know, but I really have to go to the bathroom so... Hey, come with me. Yeah, yeah, it'll be like we're gal pals, ya know, like at a restraunt. Oh, it'll be fun, c'mon. [they go in the bathroom] speaker1 Oh my God, oh my God, oh my God. speaker1 [peeks back out] Ok, now that your coat is safely in the bedr-, [sees that the coast is clear] oh, ok we can come back out in the living room. speaker1 So uh, Joey and Chanlder, I, I think it's time that you take Dr. Greene over to your place. "
5,Joey,"<b>s04_e02_c03(0) for Joey</b><br><br><b>Phoebe</b>: Oh my God, you guys are selling the entertainment center?<br><br><b>Rachel</b>: Why? I love that thing.<br><br><b>Chandler</b>: You want it?<br><br><b>Phoebe, Rachel</b>: Oh no.<br><br><b>Chandler</b>: Ahh, Gepeto, $5,000 dollars? Are you insane?<br><br><b>Joey</b>: Hey, the ad alone cost 300 bucks!<br><br><b>Chandler</b>: All right look, I'm changing it to 50 bucks, or your best offer.<br><br><b>Joey</b>: What kind of profit is that?! And you call yourself an accountant.<br><br><b>Chandler</b>: (looks at him) Nooo.<br><br><b>Joey</b>: Oh. What do you do?<br><br>",04_e02_c03(0) ,True,True,False,True,True," speaker0 Hey, the ad alone cost 300 bucks! speaker0 What kind of profit is that?! And you call yourself an accountant. speaker0 Oh. What do you do?"," speaker1 Oh my God, you guys are selling the entertainment center? speaker1 Why? I love that thing. speaker1 You want it? speaker1 Oh no. speaker1 Ahh, Gepeto, $5,000 dollars? Are you insane? speaker0 Hey, the ad alone cost 300 bucks! speaker1 All right look, I'm changing it to 50 bucks, or your best offer. speaker0 What kind of profit is that?! And you call yourself an accountant. speaker1 (looks at him) Nooo. speaker0 Oh. What do you do? "," speaker0 Hey, the ad alone cost 300 bucks! speaker0 What kind of profit is that?! And you call yourself an accountant. speaker0 Oh. What do you do? speaker1 Oh my God, you guys are selling the entertainment center? speaker1 Why? I love that thing. speaker1 You want it? speaker1 Oh no. speaker1 Ahh, Gepeto, $5,000 dollars? Are you insane? speaker1 All right look, I'm changing it to 50 bucks, or your best offer. speaker1 (looks at him) Nooo. "
6,Monica,"<b>s04_e24_c19(0) for Monica</b><br><br><b>Phoebe</b>: Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own.<br><br><b>Mrs. Waltham</b>: Oh my God, Phoebe.<br><br><b>Phoebe</b>: No, not Phoebe, Dr. Philange. Oh no! You have it too!<br><br>(Mrs. Waltham hangs up on her.)<br><br><b>Phoebe</b>: Hello? What kind of bitch hangs up on a doctor!<br><br>(Cut to Chandler and Monica at the buffet table.)<br><br><b>Chandler</b>: Hey.<br><br><b>Monica</b>: Hey.<br><br><b>Chandler</b>: Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship.<br><br><b>Monica</b>: I know. How could we have let this happen?<br><br><b>Chandler</b>: Seven times!<br><br><b>Monica</b>: Ugh! Well, y'know, we were away...<br><br><b>Chandler</b>: In a foreign, romantic country...<br><br><b>Monica</b>: I blame London.<br><br><b>Chandler</b>: Bad London! (Takes a spoon and smacks the turkey.)<br><br><b>Monica</b>: So look umm, while we're st-still in London, I mean, we can keep doing it right?<br><br><b>Chandler</b>: Well, I don't see that we have a choice. But, when we're back home, we don't do it.<br><br><b>Monica</b>: Only here.<br><br><b>Chandler</b>: Y'know, I saw a wine cellar downstairs...<br><br><b>Monica</b>: I'll meet you there in two minutes.<br><br><b>Chandler</b>: Okay!<br><br>(He throws down his plate and runs to the wine cellar, Monica is about to follow him but is intercepted by Rachel.)<br><br><b>Rachel</b>: Mon, honey, I gotta ask you something.<br><br><b>Monica</b>: (impatiently) Now?<br><br><b>Rachel</b>: Ross said my name up there, I mean, come on, I just can't pretend that didn't happen can I?<br><br><b>Monica</b>: Oh, I-I don't know.<br><br><b>Rachel</b>: Monica, what should I do?<br><br><b>Monica</b>: Just uh, do the right thing. (Uses some breath spray)<br><br><b>Rachel</b>: What?<br><br><b>Monica</b>: Toe the line. Thread the needle. Think outside the box! (Tries to leave, but is stopped by Rachel.)<br><br><b>Rachel</b>: Whoa, wait, listen, I think I'm just gonna talk to Ross about what he think it meant.<br><br><b>Monica</b>: Wait. Rachel, no, he's married. Married! If you don't realise that, I can't help you.<br><br>",04_e24_c19(0) ,True,False,True,True,False," (Cut to Chandler and Monica at the buffet table.) speaker0 Hey. speaker0 I know. How could we have let this happen? speaker0 Ugh! Well, y'know, we were away... speaker0 I blame London. speaker0 So look umm, while we're st-still in London, I mean, we can keep doing it right? speaker0 Only here. speaker0 I'll meet you there in two minutes. (He throws down his plate and runs to the wine cellar, Monica is about to follow him but is intercepted by Rachel.) speaker0 (impatiently) Now? speaker0 Oh, I-I don't know. speaker1 Monica, what should I do? speaker0 Just uh, do the right thing. (Uses some breath spray) speaker0 Toe the line. Thread the needle. Think outside the box! (Tries to leave, but is stopped by Rachel.) speaker0 Wait. Rachel, no, he's married. Married! If you don't realise that, I can't help you."," speaker1 Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own. speaker1 Oh my God, Phoebe. speaker1 No, not Phoebe, Dr. Philange. Oh no! You have it too! (Mrs. Waltham hangs up on her.) speaker1 Hello? What kind of bitch hangs up on a doctor! (Cut to Chandler and Monica at the buffet table.) speaker1 Hey. speaker0 Hey. speaker1 Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship. speaker0 I know. How could we have let this happen? speaker1 Seven times! speaker0 Ugh! Well, y'know, we were away... speaker1 In a foreign, romantic country... speaker0 I blame London. speaker1 Bad London! (Takes a spoon and smacks the turkey.) speaker0 So look umm, while we're st-still in London, I mean, we can keep doing it right? speaker1 Well, I don't see that we have a choice. But, when we're back home, we don't do it. speaker0 Only here. speaker1 Y'know, I saw a wine cellar downstairs... speaker0 I'll meet you there in two minutes. speaker1 Okay! (He throws down his plate and runs to the wine cellar, Monica is about to follow him but is intercepted by Rachel.) speaker1 Mon, honey, I gotta ask you something. speaker0 (impatiently) Now? speaker1 Ross said my name up there, I mean, come on, I just can't pretend that didn't happen can I? speaker0 Oh, I-I don't know. speaker1 Monica, what should I do? speaker0 Just uh, do the right thing. (Uses some breath spray) speaker1 What? speaker0 Toe the line. Thread the needle. Think outside the box! (Tries to leave, but is stopped by Rachel.) speaker1 Whoa, wait, listen, I think I'm just gonna talk to Ross about what he think it meant. speaker0 Wait. Rachel, no, he's married. Married! If you don't realise that, I can't help you. "," (Cut to Chandler and Monica at the buffet table.) speaker0 Hey. speaker0 I know. How could we have let this happen? speaker0 Ugh! Well, y'know, we were away... speaker0 I blame London. speaker0 So look umm, while we're st-still in London, I mean, we can keep doing it right? speaker0 Only here. speaker0 I'll meet you there in two minutes. (He throws down his plate and runs to the wine cellar, Monica is about to follow him but is intercepted by Rachel.) speaker0 (impatiently) Now? speaker0 Oh, I-I don't know. speaker1 Monica, what should I do? speaker0 Just uh, do the right thing. (Uses some breath spray) speaker0 Toe the line. Thread the needle. Think outside the box! (Tries to leave, but is stopped by Rachel.) speaker0 Wait. Rachel, no, he's married. Married! If you don't realise that, I can't help you. speaker1 Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own. speaker1 Oh my God, Phoebe. speaker1 No, not Phoebe, Dr. Philange. Oh no! You have it too! (Mrs. Waltham hangs up on her.) speaker1 Hello? What kind of bitch hangs up on a doctor! speaker1 Hey. speaker1 Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship. speaker1 Seven times! speaker1 In a foreign, romantic country... speaker1 Bad London! (Takes a spoon and smacks the turkey.) speaker1 Well, I don't see that we have a choice. But, when we're back home, we don't do it. speaker1 Y'know, I saw a wine cellar downstairs... speaker1 Okay! speaker1 Mon, honey, I gotta ask you something. speaker1 Ross said my name up there, I mean, come on, I just can't pretend that didn't happen can I? speaker1 What? speaker1 Whoa, wait, listen, I think I'm just gonna talk to Ross about what he think it meant. "
7,Phoebe Buffay,"<b>s01_e04_c10(0) for Phoebe Buffay</b><br><br><b>Rachel Green</b>: I'm so sorry, you guys. I didn't mean to bring you down.<br><br><b>Monica Geller</b>: No, you were right. I don't have a plan. (There's a knock on the door.)<br><br><b>Pizza Guy</b>: (yelling from outside) Pizza guy!<br><br><b>Rachel Green</b>: Thank God. Food. (She goes to answer the door.)<br><br><b>Monica Geller</b>: Phoebe?<br><br><b>Phoebe Buffay</b>: What?<br><br><b>Monica Geller</b>: Do you have a plan?<br><br><b>Phoebe Buffay</b>: I don't even have a 'pl'.<br><br>",01_e04_c10(0) ,True,True,True,True,True, speaker0 What? speaker0 I don't even have a 'pl'.," speaker1 I'm so sorry, you guys. I didn't mean to bring you down. speaker1 No, you were right. I don't have a plan. (There's a knock on the door.) speaker1 (yelling from outside) Pizza guy! speaker1 Thank God. Food. (She goes to answer the door.) speaker1 Phoebe? speaker0 What? speaker1 Do you have a plan? speaker0 I don't even have a 'pl'. "," speaker0 What? speaker0 I don't even have a 'pl'. speaker1 I'm so sorry, you guys. I didn't mean to bring you down. speaker1 No, you were right. I don't have a plan. (There's a knock on the door.) speaker1 (yelling from outside) Pizza guy! speaker1 Thank God. Food. (She goes to answer the door.) speaker1 Phoebe? speaker1 Do you have a plan? "
8,Rachel,"<b>s03_e04_c04(0) for Rachel</b><br><br><b>Phoebe</b>: Oh, it's your audition from this morning. Can I use the phone again?<br><br><b>Rachel</b>: Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents.<br><br><b>Joey</b>: Come on baby, come on!<br><br><b>Phoebe</b>: (on phone, in 'Katelynn's' voice) 'Hi, I have Phoebe Buffay returning a page. Okay, well, um, she's in her car I'll have to patch you through.'<br><br><b>Rachel</b>: Very nice touch.<br><br><b>Phoebe</b>: (in voice, on phone) 'Okay, go ahead.' (in normal voice on phone) Um, hi Annie. (listens) Fantastic! (to Joey) You got it. (on phone) Oh, okay, um, 'Will he work for scale?' you ask me. Well, I don't know about that, (Joey clears his throat to signify yes) except that I do and he will. Great, oh you are such a sweetheart. I would love to have lunch with you, how about we have lunch next....(hangs up phone) Op, went through a tunnel.<br><br><b>Rachel</b>: Unbelievable.<br><br>",03_e04_c04(0) ,True,True,True,True,True," speaker0 Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents. speaker0 Very nice touch. speaker0 Unbelievable."," speaker1 Oh, it's your audition from this morning. Can I use the phone again? speaker0 Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents. speaker1 Come on baby, come on! speaker1 (on phone, in 'Katelynn's' voice) 'Hi, I have Phoebe Buffay returning a page. Okay, well, um, she's in her car I'll have to patch you through.' speaker0 Very nice touch. speaker1 (in voice, on phone) 'Okay, go ahead.' (in normal voice on phone) Um, hi Annie. (listens) Fantastic! (to Joey) You got it. (on phone) Oh, okay, um, 'Will he work for scale?' you ask me. Well, I don't know about that, (Joey clears his throat to signify yes) except that I do and he will. Great, oh you are such a sweetheart. I would love to have lunch with you, how about we have lunch next....(hangs up phone) Op, went through a tunnel. speaker0 Unbelievable. "," speaker0 Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents. speaker0 Very nice touch. speaker0 Unbelievable. speaker1 Oh, it's your audition from this morning. Can I use the phone again? speaker1 Come on baby, come on! speaker1 (on phone, in 'Katelynn's' voice) 'Hi, I have Phoebe Buffay returning a page. Okay, well, um, she's in her car I'll have to patch you through.' speaker1 (in voice, on phone) 'Okay, go ahead.' (in normal voice on phone) Um, hi Annie. (listens) Fantastic! (to Joey) You got it. (on phone) Oh, okay, um, 'Will he work for scale?' you ask me. Well, I don't know about that, (Joey clears his throat to signify yes) except that I do and he will. Great, oh you are such a sweetheart. I would love to have lunch with you, how about we have lunch next....(hangs up phone) Op, went through a tunnel. "
9,Rachel Green,"<b>s02_e04_c09(0) for Rachel Green</b><br><br><b>Monica Geller</b>: You know, it still smells like monkey in there.<br><br><b>Julie</b>: That saves us a conversation.<br><br><b>Chandler Bing</b>: Well, listen, this has been great but I'm officially wiped.<br><br><b>Joey Tribbiani</b>: Me too, we should get goin'.<br><br><b>Rachel Green</b>: No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore.<br><br><b>Monica Geller</b>: Rachel, that's all we do.<br><br><b>Rachel Green</b>: Maybe that's all we do, what about Julie?<br><br><b>Julie</b>: What about Julie?<br><br><b>Rachel Green</b>: Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything.<br><br><b>Julie</b>: Well, that could take a while.<br><br><b>Rachel Green</b>: So. I mean, who here does not have the time to get to know Julie?<br><br><b>Chandler Bing</b>: I got the time to get to know Julie.<br><br>",02_e04_c09(0) ,False,False,False,False,True," speaker0 No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore. speaker0 Maybe that's all we do, what about Julie? speaker0 Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything. speaker0 So. I mean, who here does not have the time to get to know Julie?"," speaker1 You know, it still smells like monkey in there. speaker1 That saves us a conversation. speaker1 Well, listen, this has been great but I'm officially wiped. speaker1 Me too, we should get goin'. speaker0 No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore. speaker1 Rachel, that's all we do. speaker0 Maybe that's all we do, what about Julie? speaker1 What about Julie? speaker0 Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything. speaker1 Well, that could take a while. speaker0 So. I mean, who here does not have the time to get to know Julie? speaker1 I got the time to get to know Julie. "," speaker0 No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore. speaker0 Maybe that's all we do, what about Julie? speaker0 Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything. speaker0 So. I mean, who here does not have the time to get to know Julie? speaker1 You know, it still smells like monkey in there. speaker1 That saves us a conversation. speaker1 Well, listen, this has been great but I'm officially wiped. speaker1 Me too, we should get goin'. speaker1 Rachel, that's all we do. speaker1 What about Julie? speaker1 Well, that could take a while. speaker1 I got the time to get to know Julie. "
