HITId,Input.characters,Input.texts,Answer.agreeable,Answer.conscientious,Answer.extraverted,Answer.open,Answer.stable
3VMV5CHJZ8UYW012YJJ2D81Q7DFTGV,Ross Geller,"<b>s01_e01_c01(0) for Ross Geller</b><br><br><b>Joey Tribbiani</b>: Never had that dream.<br><br><b>Phoebe Buffay</b>: No.<br><br><b>Chandler Bing</b>: All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.<br><br><b>Monica Geller</b>: And they weren't looking at you before?!<br><br><b>Chandler Bing</b>: Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!<br><br>[Time Lapse, Ross has entered.]<br><br><b>Ross Geller</b>: (mortified) Hi.<br><br><b>Joey Tribbiani</b>: This guy says hello, I wanna kill myself.<br><br><b>Monica Geller</b>: Are you okay, sweetie?<br><br><b>Ross Geller</b>: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...<br><br><b>Chandler Bing</b>: Cookie?<br><br><b>Monica Geller</b>: (explaining to the others) Carol moved her stuff out today.<br><br><b>Joey Tribbiani</b>: Ohh.<br><br><b>Monica Geller</b>: (to Ross) Let me get you some coffee.<br><br><b>Ross Geller</b>: Thanks.<br><br><b>Phoebe Buffay</b>: Ooh! Oh! (She starts to pluck at the air just in front of Ross.)<br><br><b>Ross Geller</b>: No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?<br><br><b>Phoebe Buffay</b>: Fine! Be murky!<br><br><b>Ross Geller</b>: I'll be fine, alright? Really, everyone. I hope she'll be very happy.<br><br><b>Monica Geller</b>: No you don't.<br><br><b>Ross Geller</b>: No I don't, to hell with her, she left me!<br><br><b>Joey Tribbiani</b>: And you never knew she was a lesbian...<br><br><b>Ross Geller</b>: No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?<br><br><b>Chandler Bing</b>: Sometimes I wish I was a lesbian... (They all stare at him.) Did I say that out loud?<br><br><b>Ross Geller</b>: I told mom and dad last night, they seemed to take it pretty well.<br><br><b>Monica Geller</b>: Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?<br><br><b>Ross Geller</b>: Sorry.<br><br><b>Joey Tribbiani</b>: Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?<br><br>(Ross gestures his consent.)<br><br><b>Joey Tribbiani</b>: Strip joint! C'mon, you're single! Have some hormones!<br><br><b>Ross Geller</b>: I don't want to be single, okay? I just... I just- I just wanna be married again!<br><br>(Rachel enters in a wet wedding dress and starts to search the room.)<br><br><b>Chandler Bing</b>: And I just want a million dollars! (He extends his hand hopefully.)<br><br>",-1.0,0.0,-1.0,0.0,0.0
3VMV5CHJZ8UYW012YJJ2D81Q7DFTGV,Ross Geller,"<b>s01_e01_c01(0) for Ross Geller</b><br><br><b>Joey Tribbiani</b>: Never had that dream.<br><br><b>Phoebe Buffay</b>: No.<br><br><b>Chandler Bing</b>: All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.<br><br><b>Monica Geller</b>: And they weren't looking at you before?!<br><br><b>Chandler Bing</b>: Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!<br><br>[Time Lapse, Ross has entered.]<br><br><b>Ross Geller</b>: (mortified) Hi.<br><br><b>Joey Tribbiani</b>: This guy says hello, I wanna kill myself.<br><br><b>Monica Geller</b>: Are you okay, sweetie?<br><br><b>Ross Geller</b>: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...<br><br><b>Chandler Bing</b>: Cookie?<br><br><b>Monica Geller</b>: (explaining to the others) Carol moved her stuff out today.<br><br><b>Joey Tribbiani</b>: Ohh.<br><br><b>Monica Geller</b>: (to Ross) Let me get you some coffee.<br><br><b>Ross Geller</b>: Thanks.<br><br><b>Phoebe Buffay</b>: Ooh! Oh! (She starts to pluck at the air just in front of Ross.)<br><br><b>Ross Geller</b>: No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?<br><br><b>Phoebe Buffay</b>: Fine! Be murky!<br><br><b>Ross Geller</b>: I'll be fine, alright? Really, everyone. I hope she'll be very happy.<br><br><b>Monica Geller</b>: No you don't.<br><br><b>Ross Geller</b>: No I don't, to hell with her, she left me!<br><br><b>Joey Tribbiani</b>: And you never knew she was a lesbian...<br><br><b>Ross Geller</b>: No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?<br><br><b>Chandler Bing</b>: Sometimes I wish I was a lesbian... (They all stare at him.) Did I say that out loud?<br><br><b>Ross Geller</b>: I told mom and dad last night, they seemed to take it pretty well.<br><br><b>Monica Geller</b>: Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?<br><br><b>Ross Geller</b>: Sorry.<br><br><b>Joey Tribbiani</b>: Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?<br><br>(Ross gestures his consent.)<br><br><b>Joey Tribbiani</b>: Strip joint! C'mon, you're single! Have some hormones!<br><br><b>Ross Geller</b>: I don't want to be single, okay? I just... I just- I just wanna be married again!<br><br>(Rachel enters in a wet wedding dress and starts to search the room.)<br><br><b>Chandler Bing</b>: And I just want a million dollars! (He extends his hand hopefully.)<br><br>",1.0,1.0,0.0,-1.0,1.0
3VMV5CHJZ8UYW012YJJ2D81Q7DFTGV,Ross Geller,"<b>s01_e01_c01(0) for Ross Geller</b><br><br><b>Joey Tribbiani</b>: Never had that dream.<br><br><b>Phoebe Buffay</b>: No.<br><br><b>Chandler Bing</b>: All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.<br><br><b>Monica Geller</b>: And they weren't looking at you before?!<br><br><b>Chandler Bing</b>: Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!<br><br>[Time Lapse, Ross has entered.]<br><br><b>Ross Geller</b>: (mortified) Hi.<br><br><b>Joey Tribbiani</b>: This guy says hello, I wanna kill myself.<br><br><b>Monica Geller</b>: Are you okay, sweetie?<br><br><b>Ross Geller</b>: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...<br><br><b>Chandler Bing</b>: Cookie?<br><br><b>Monica Geller</b>: (explaining to the others) Carol moved her stuff out today.<br><br><b>Joey Tribbiani</b>: Ohh.<br><br><b>Monica Geller</b>: (to Ross) Let me get you some coffee.<br><br><b>Ross Geller</b>: Thanks.<br><br><b>Phoebe Buffay</b>: Ooh! Oh! (She starts to pluck at the air just in front of Ross.)<br><br><b>Ross Geller</b>: No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?<br><br><b>Phoebe Buffay</b>: Fine! Be murky!<br><br><b>Ross Geller</b>: I'll be fine, alright? Really, everyone. I hope she'll be very happy.<br><br><b>Monica Geller</b>: No you don't.<br><br><b>Ross Geller</b>: No I don't, to hell with her, she left me!<br><br><b>Joey Tribbiani</b>: And you never knew she was a lesbian...<br><br><b>Ross Geller</b>: No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?<br><br><b>Chandler Bing</b>: Sometimes I wish I was a lesbian... (They all stare at him.) Did I say that out loud?<br><br><b>Ross Geller</b>: I told mom and dad last night, they seemed to take it pretty well.<br><br><b>Monica Geller</b>: Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?<br><br><b>Ross Geller</b>: Sorry.<br><br><b>Joey Tribbiani</b>: Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?<br><br>(Ross gestures his consent.)<br><br><b>Joey Tribbiani</b>: Strip joint! C'mon, you're single! Have some hormones!<br><br><b>Ross Geller</b>: I don't want to be single, okay? I just... I just- I just wanna be married again!<br><br>(Rachel enters in a wet wedding dress and starts to search the room.)<br><br><b>Chandler Bing</b>: And I just want a million dollars! (He extends his hand hopefully.)<br><br>",-1.0,0.0,1.0,1.0,1.0
3ZVPAMTJWNILGLOAUUE7DT08JSIRGG,Chandler Bing,"<b>s01_e01_c01(0) for Chandler Bing</b><br><br><b>Monica Geller</b>: There's nothing to tell! He's just some guy I work with!<br><br><b>Joey Tribbiani</b>: C'mon, you're going out with the guy! There's gotta be something wrong with him!<br><br><b>Chandler Bing</b>: All right Joey, be nice. So does he have a hump? A hump and a hairpiece?<br><br><b>Phoebe Buffay</b>: Wait, does he eat chalk?<br><br>(They all stare, bemused.)<br><br><b>Phoebe Buffay</b>: Just, 'cause, I don't want her to go through what I went through with Carl- oh!<br><br><b>Monica Geller</b>: Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.<br><br><b>Chandler Bing</b>: Sounds like a date to me.<br><br>[Time Lapse]<br><br><b>Chandler Bing</b>: Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.<br><br><b>All</b>: Oh, yeah. Had that dream.<br><br><b>Chandler Bing</b>: Then I look down, and I realize there's a phone... there.<br><br><b>Joey Tribbiani</b>: Instead of...?<br><br><b>Chandler Bing</b>: That's right.<br><br><b>Joey Tribbiani</b>: Never had that dream.<br><br><b>Phoebe Buffay</b>: No.<br><br><b>Chandler Bing</b>: All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.<br><br><b>Monica Geller</b>: And they weren't looking at you before?!<br><br><b>Chandler Bing</b>: Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!<br><br>[Time Lapse, Ross has entered.]<br><br><b>Ross Geller</b>: (mortified) Hi.<br><br><b>Joey Tribbiani</b>: This guy says hello, I wanna kill myself.<br><br><b>Monica Geller</b>: Are you okay, sweetie?<br><br><b>Ross Geller</b>: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...<br><br><b>Chandler Bing</b>: Cookie?<br><br><b>Monica Geller</b>: (explaining to the others) Carol moved her stuff out today.<br><br>",-1.0,1.0,0.0,0.0,0.0
3ZVPAMTJWNILGLOAUUE7DT08JSIRGG,Chandler Bing,"<b>s01_e01_c01(0) for Chandler Bing</b><br><br><b>Monica Geller</b>: There's nothing to tell! He's just some guy I work with!<br><br><b>Joey Tribbiani</b>: C'mon, you're going out with the guy! There's gotta be something wrong with him!<br><br><b>Chandler Bing</b>: All right Joey, be nice. So does he have a hump? A hump and a hairpiece?<br><br><b>Phoebe Buffay</b>: Wait, does he eat chalk?<br><br>(They all stare, bemused.)<br><br><b>Phoebe Buffay</b>: Just, 'cause, I don't want her to go through what I went through with Carl- oh!<br><br><b>Monica Geller</b>: Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.<br><br><b>Chandler Bing</b>: Sounds like a date to me.<br><br>[Time Lapse]<br><br><b>Chandler Bing</b>: Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.<br><br><b>All</b>: Oh, yeah. Had that dream.<br><br><b>Chandler Bing</b>: Then I look down, and I realize there's a phone... there.<br><br><b>Joey Tribbiani</b>: Instead of...?<br><br><b>Chandler Bing</b>: That's right.<br><br><b>Joey Tribbiani</b>: Never had that dream.<br><br><b>Phoebe Buffay</b>: No.<br><br><b>Chandler Bing</b>: All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.<br><br><b>Monica Geller</b>: And they weren't looking at you before?!<br><br><b>Chandler Bing</b>: Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!<br><br>[Time Lapse, Ross has entered.]<br><br><b>Ross Geller</b>: (mortified) Hi.<br><br><b>Joey Tribbiani</b>: This guy says hello, I wanna kill myself.<br><br><b>Monica Geller</b>: Are you okay, sweetie?<br><br><b>Ross Geller</b>: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...<br><br><b>Chandler Bing</b>: Cookie?<br><br><b>Monica Geller</b>: (explaining to the others) Carol moved her stuff out today.<br><br>",0.0,1.0,1.0,-1.0,-1.0
3ZVPAMTJWNILGLOAUUE7DT08JSIRGG,Chandler Bing,"<b>s01_e01_c01(0) for Chandler Bing</b><br><br><b>Monica Geller</b>: There's nothing to tell! He's just some guy I work with!<br><br><b>Joey Tribbiani</b>: C'mon, you're going out with the guy! There's gotta be something wrong with him!<br><br><b>Chandler Bing</b>: All right Joey, be nice. So does he have a hump? A hump and a hairpiece?<br><br><b>Phoebe Buffay</b>: Wait, does he eat chalk?<br><br>(They all stare, bemused.)<br><br><b>Phoebe Buffay</b>: Just, 'cause, I don't want her to go through what I went through with Carl- oh!<br><br><b>Monica Geller</b>: Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.<br><br><b>Chandler Bing</b>: Sounds like a date to me.<br><br>[Time Lapse]<br><br><b>Chandler Bing</b>: Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.<br><br><b>All</b>: Oh, yeah. Had that dream.<br><br><b>Chandler Bing</b>: Then I look down, and I realize there's a phone... there.<br><br><b>Joey Tribbiani</b>: Instead of...?<br><br><b>Chandler Bing</b>: That's right.<br><br><b>Joey Tribbiani</b>: Never had that dream.<br><br><b>Phoebe Buffay</b>: No.<br><br><b>Chandler Bing</b>: All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.<br><br><b>Monica Geller</b>: And they weren't looking at you before?!<br><br><b>Chandler Bing</b>: Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!<br><br>[Time Lapse, Ross has entered.]<br><br><b>Ross Geller</b>: (mortified) Hi.<br><br><b>Joey Tribbiani</b>: This guy says hello, I wanna kill myself.<br><br><b>Monica Geller</b>: Are you okay, sweetie?<br><br><b>Ross Geller</b>: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...<br><br><b>Chandler Bing</b>: Cookie?<br><br><b>Monica Geller</b>: (explaining to the others) Carol moved her stuff out today.<br><br>",0.0,0.0,0.0,0.0,-1.0
3TZ0XG8CBUZ0J6M6HF2XUVJGPN098W,Monica Geller,"<b>s01_e01_c11(0) for Monica Geller</b><br><br><b>Paul</b>: (entering from Monica's room) Morning.<br><br><b>Joey Tribbiani</b>: Morning, Paul.<br><br><b>Rachel Green</b>: Hello, Paul.<br><br><b>Chandler Bing</b>: Hi, Paul, is it?<br><br>(Monica and Paul walk to the door and talk in a low voice so the others can't hear. The others move Monica's table closer to the door so that they can.)<br><br><b>Paul</b>: Thank you! Thank you so much!<br><br><b>Monica Geller</b>: Stop!<br><br><b>Paul</b>: No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.<br><br><b>Monica Geller</b>: We'll talk later.<br><br><b>Paul</b>: Yeah. (They kiss) Thank you. (Exits)<br><br><b>Joey Tribbiani</b>: That wasn't a real date?! What the hell do you do on a real date?<br><br><b>Monica Geller</b>: Shut up, and put my table back.<br><br><b>All</b>: Okayyy! (They do so.)<br><br><b>Chandler Bing</b>: All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...<br><br><b>Rachel Green</b>: So, like, you guys all have jobs?<br><br><b>Monica Geller</b>: Yeah, we all have jobs. See, that's how we buy stuff.<br><br><b>Joey Tribbiani</b>: Yeah, I'm an actor.<br><br><b>Rachel Green</b>: Wow! Would I have seen you in anything?<br><br><b>Joey Tribbiani</b>: I doubt it. Mostly regional work.<br><br><b>Monica Geller</b>: Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.<br><br><b>Joey Tribbiani</b>: Look, it was a job all right?<br><br>",-1.0,0.0,1.0,-1.0,-1.0
3TZ0XG8CBUZ0J6M6HF2XUVJGPN098W,Monica Geller,"<b>s01_e01_c11(0) for Monica Geller</b><br><br><b>Paul</b>: (entering from Monica's room) Morning.<br><br><b>Joey Tribbiani</b>: Morning, Paul.<br><br><b>Rachel Green</b>: Hello, Paul.<br><br><b>Chandler Bing</b>: Hi, Paul, is it?<br><br>(Monica and Paul walk to the door and talk in a low voice so the others can't hear. The others move Monica's table closer to the door so that they can.)<br><br><b>Paul</b>: Thank you! Thank you so much!<br><br><b>Monica Geller</b>: Stop!<br><br><b>Paul</b>: No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.<br><br><b>Monica Geller</b>: We'll talk later.<br><br><b>Paul</b>: Yeah. (They kiss) Thank you. (Exits)<br><br><b>Joey Tribbiani</b>: That wasn't a real date?! What the hell do you do on a real date?<br><br><b>Monica Geller</b>: Shut up, and put my table back.<br><br><b>All</b>: Okayyy! (They do so.)<br><br><b>Chandler Bing</b>: All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...<br><br><b>Rachel Green</b>: So, like, you guys all have jobs?<br><br><b>Monica Geller</b>: Yeah, we all have jobs. See, that's how we buy stuff.<br><br><b>Joey Tribbiani</b>: Yeah, I'm an actor.<br><br><b>Rachel Green</b>: Wow! Would I have seen you in anything?<br><br><b>Joey Tribbiani</b>: I doubt it. Mostly regional work.<br><br><b>Monica Geller</b>: Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.<br><br><b>Joey Tribbiani</b>: Look, it was a job all right?<br><br>",0.0,0.0,0.0,0.0,0.0
3TZ0XG8CBUZ0J6M6HF2XUVJGPN098W,Monica Geller,"<b>s01_e01_c11(0) for Monica Geller</b><br><br><b>Paul</b>: (entering from Monica's room) Morning.<br><br><b>Joey Tribbiani</b>: Morning, Paul.<br><br><b>Rachel Green</b>: Hello, Paul.<br><br><b>Chandler Bing</b>: Hi, Paul, is it?<br><br>(Monica and Paul walk to the door and talk in a low voice so the others can't hear. The others move Monica's table closer to the door so that they can.)<br><br><b>Paul</b>: Thank you! Thank you so much!<br><br><b>Monica Geller</b>: Stop!<br><br><b>Paul</b>: No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.<br><br><b>Monica Geller</b>: We'll talk later.<br><br><b>Paul</b>: Yeah. (They kiss) Thank you. (Exits)<br><br><b>Joey Tribbiani</b>: That wasn't a real date?! What the hell do you do on a real date?<br><br><b>Monica Geller</b>: Shut up, and put my table back.<br><br><b>All</b>: Okayyy! (They do so.)<br><br><b>Chandler Bing</b>: All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...<br><br><b>Rachel Green</b>: So, like, you guys all have jobs?<br><br><b>Monica Geller</b>: Yeah, we all have jobs. See, that's how we buy stuff.<br><br><b>Joey Tribbiani</b>: Yeah, I'm an actor.<br><br><b>Rachel Green</b>: Wow! Would I have seen you in anything?<br><br><b>Joey Tribbiani</b>: I doubt it. Mostly regional work.<br><br><b>Monica Geller</b>: Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.<br><br><b>Joey Tribbiani</b>: Look, it was a job all right?<br><br>",-1.0,1.0,1.0,1.0,1.0
3D0LPO3EABEI5ZHUW8J9QY27D1OOY2,Rachel Green,"<b>s01_e01_c14(1) for Rachel Green</b><br><br><b>Monica Geller</b>: Welcome to the real world! It sucks. You're gonna love it!<br><br>[Time Lapse, Rachel and Ross are watching a TV channel finishes it's broadcast day by playing the national anthem.]<br><br><b>Monica Geller</b>: Well, that's it (To Ross) You gonna crash on the couch?<br><br><b>Ross Geller</b>: No. No, I gotta go home sometime.<br><br><b>Monica Geller</b>: You be okay?<br><br><b>Ross Geller</b>: Yeah.<br><br><b>Rachel Green</b>: Hey Mon, look what I just found on the floor. (Monica smiles.) What?<br><br><b>Monica Geller</b>: That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.<br><br><b>Rachel, Ross</b>: Goodnight.<br><br>(Monica stomps on Paul's watch and goes into her room.)<br><br><b>Ross Geller</b>: Mmm. (They both reach for the last cookie) Oh, no-<br><br><b>Rachel Green</b>: Sorry-<br><br><b>Ross Geller</b>: No no no, go-<br><br><b>Rachel Green</b>: No, you have it, really, I don't want it-<br><br><b>Ross Geller</b>: Split it?<br><br><b>Rachel Green</b>: Okay.<br><br><b>Ross Geller</b>: Okay. (They split it.) You know you probably didn't know this, but back in high school, I had a, um, major crush on you.<br><br><b>Rachel Green</b>: I knew.<br><br><b>Ross Geller</b>: You did! Oh.... I always figured you just thought I was Monica's geeky older brother.<br><br><b>Rachel Green</b>: I did.<br><br><b>Ross Geller</b>: Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?<br><br><b>Rachel Green</b>: Yeah, maybe...<br><br><b>Ross Geller</b>: Okay... okay, maybe I will...<br><br>",-1.0,0.0,1.0,-1.0,1.0
