characters,text,cAGR,cCON,cEXT,cOPN,cNEU
Ross Geller,"Ross Geller: Aww. Thank you, Aunt Phoebe. Ross Geller: Just, just say what you feel. ",2.0,2.0,1.0,2.0,3.0
Bonnie,"Bonnie: Rachel was just helping me out. My head got all sunburned. Bonnie: (to Rachel) Thanks a million. Bonnie: (getting up and leaving) (to Ross) Okay, I'll see you in our room. ",3.0,3.0,0.0,1.0,2.0
Janice,"Janice: Oh, I miss you already. Can you believe this happened? Janice: Kiss me! Janice: Hi, Monica. ",0.0,-1.0,0.0,1.0,0.0
Rachel Green,"Rachel Green: I know, I know, I'm sorry- Rachel Green: (Tearfully) Ross, I'm doing everything that I can, I've got everybody looking for him, and I- (Door buzzer goes and she runs to get it) Oh! Who is it? Rachel Green: See? I've even called Animal Control! Rachel Green: Uh-huh... why... do you not like them? Rachel Green: O-okay, now see, you never ever ever told us that... Rachel Green: Hi, thanks for coming. Rachel Green: Oh, y'know what? That was a complete misunderstanding! (Ross puts his arms around her and they act all sweetness and light) Rachel Green: Turned out it was a hat. Rachel Green: Cat! What'm I saying? Cat! ",1.0,2.0,2.0,2.0,2.0
Phoebe Buffay,"Phoebe Buffay: You are just like Jack. Phoebe Buffay: No, Jack and the Beanstalk. Phoebe Buffay: Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village.. Phoebe Buffay: Oh, see, Jack did love the cow. Phoebe Buffay: Floopy? ",1.0,2.0,2.0,1.0,1.0
Ross Geller,"Ross Geller: He looks so tiny. Ross Geller: Yeah. The doctor got the 'K' out. He also found an 'M' and an 'O'. Ross Geller: Well, the doctor says he's gonna be fine, he's just sleeping now. ",1.0,1.0,0.0,1.0,1.0
Big Bully,"Big Bully: Hehehehey, isn't that the guy who used to wear your hat? Big Bully: Maybe we didn't make it clear enough. Big Bully: This couch belongs to us. Big Bully: You know what I keep wondering? Why you two are still sitting here. Big Bully: Oh, sorry, I didn't realize. Big Bully: You told on us? Big Bully: Alright, let's take this outside. Big Bully: The guy that's about to kick your ass talks like that. ",1.0,-1.0,1.0,0.0,0.0
Ross,"Ross: Oh, yumm! Ross: Cookies and porn, you're the best mom ever!! Ross: Yeah, how does Jason look in a v-neck? Ross: Oh, whatever. (Laughs and gives Joey the thumbs up heading back to his apartment. Joey follows him) ",0.0,0.0,1.0,1.0,-1.0
Ross Geller,"Ross Geller: Alright, alright, here's the chance. Monica give him cash, Rachel give him your earrings. Something, now, anything. Ross Geller: Alright, alright, you know how you say I never seize the day? Well, alright, even though he's your super, I'm seizing. [approaches Mr. Treeger] Mr. Treeger, here is 50 bucks, merry Christmas. [Gives him the cash.] Ross Geller: No no, no, that, that's your Christmas tip, alright. Oh, hey, do you think there's a chance you could fix that radiator now? Ross Geller: Yeah. Ross Geller: You mean hardball? Ross Geller: Excuse me, I'm seizing. Mr. Treeger, here's another 50, happy Hanukkah. Will uh, will this help with the knob getting? ",3.0,2.0,2.0,1.0,1.0
Joey Tribbiani,Joey Tribbiani: (entering) He's back! The peeper's back! Joey Tribbiani: (ducking) Get down! ,1.0,2.0,2.0,-1.0,2.0
Chandler,"Chandler: (to Ross) You be cool. (He opens the door and lets her in as they all turn there backs on her.) Chandler: Way to be cool, man. ",2.0,0.0,2.0,2.0,2.0
Emily,"Emily: Hello? Emily: We don't have to. Emily: No. But, Monica and I were talking, and-and I was so upset about the hall being knocked down, and she suggested that we put the wedding off for a bit. Emily: She said, ""If I'm not gonna be happy getting married somewhere that we find in a day, well then we should just postpone it."" Emily: I realise that people are going to be disappointed. But, I'm sure they'll come back when we can do it right. Emily: Don't you point your pants at me! (She throws them on the floor.) We have no choice! Anywhere that's half-decent would've be booked months ago, Ross don't you understand? This is our wedding I'm talking about. Emily: So what are you saying? It's now or never? ",-1.0,1.0,2.0,2.0,0.0
Russ,"Russ: Hi. Russ: OK, I'll just sit here and... uh... chat with your, uh.... friend-type....people. [Phoebe walks up to Rachel, cleaning tables.] ",2.0,0.0,1.0,-1.0,-1.0
Chloe,"Chloe: And the advances in collating in the past five years, I mean we just got in an X-5000, y'know. The X-5000 makes the X-50 look like a T-71. Chloe: (seeing Ross enter) Hey, it's the dinosaur guy. (runs over to Ross) Hi, Ross. Chloe: I want you to met some friends of mine. (Introduces him to Chandler and Joey) This guy is my hero, he comes in with some stuff he wants it blown up 400%, we said we don't do that, and he says you gotta. And y'know what, we did it. And now anytime anybody wants 400, we just say 'let's Ross it!' ",0.0,1.0,3.0,1.0,2.0
Monica Geller,"Monica Geller: Rach, does this have nonfat milk? Monica Geller: [takes a sip] Mmmm, no. Monica Geller: You know what? It seems like you've been making an awful lot of stuff Irish lately. Monica Geller: Bobby. Monica Geller: Look, maybe this is none of my business, or maybe it is, I don't know... but, uh, I'm kind of worried about you. Monica Geller: So, what are you saying now? ",2.0,3.0,2.0,2.0,2.0
Monica Geller,"Monica Geller: [looking at some kind of glass sculpture thing] Wow Joey, this is, uhh... Monica Geller: Art it is. ",-1.0,0.0,-1.0,-3.0,0.0
Fake Monica,"Fake Monica: Hey. Fake Monica: I'm not too bad. Fortunately, blue's my colour. How-how did you know I was here? Fake Monica: That I was not expecting. Fake Monica: Oh. Thanks. Fake Monica: Well, actually, you only got to sing 'Memo-'. Fake Monica: Monica, I started my day by peeing in front of twenty-five other women, and you're worried about who's gonna take you to the Big Apple Circus? ",2.0,2.0,-1.0,3.0,0.0
Chandler,"Chandler: I don't know, but Donald Trump wants his blue blazer black. Chandler: Blue blazer back. He-he wants it back. Chandler: Well, you-you know what I meant. Chandler: So what job did you get Joe? ",2.0,2.0,1.0,2.0,1.0
Tim,"Tim: Here, let me help. (Does so.) Tim: You-you have a very beautiful... eye. Tim: Y'know I-I thought it was gonna be weird, I mean I almost called and canceled, but it really isn't. Tim: Oh, I totally agree. Tim: What? Tim: No-no really, was-was that not okay? Tim: Oh my God! It didn't remind you of... Tim: No, but it did! Didn't it?! Tim: Oh man!! ",2.0,2.0,0.0,1.0,2.0
Joey,"Joey: Now, wait a second! You make food and robots? ",0.0,-1.0,1.0,0.0,-1.0
Ross,"Ross: Women tell each other everything. Did you know that? Ross: No Chandler, everything! Like stuff you like, stuff she likes, technique, stamina, girth.... Ross: Rachel says sharing's great and supposedly, you know, we outta be doing it. Do you wanna? Ross: Nooo! Ross: Yeah? Ross: Okay, okay, I'll go first. Ross: So, uh, the other night Rachel and I are in bed talking about fantasies, and I happened to describe a particular Star Wars thing.... Ross: Yes! Ross: Yes! Wow, well, that-that was easy. Okay, you-you go. Ross: Okay. Ross: Hmph. ",1.0,0.0,0.0,1.0,2.0
Ross,"Ross: Hey, y'know, Mon, if things wrong out between you and Richard's son, you'd be able to tell your kids, that you slept with their grandfather. Ross: (to Rachel) Oh hey! Hey uh, you remember the necklace I gave you last year? Can I see it? Ross: I just wanna check something. Ross: (He puts his hand over the hole on the box.) (to Chandler) Now, we'll see. Ross: (grabbing the necklace) The necklace I got you was gold, this one is silver. Ross: Oh my God! You actually exchanged it! Ross: What did you get? ",0.0,-1.0,0.0,1.0,1.0
Monica,"Monica: Hey-hey-hey. You wanna hear something that sucks. Monica: Chris says they're closing down the bar. Monica: Yeah, apparently they're turning it into some kinda coffee place. Monica: Got me. Monica: Hey, did you pick a roommate? Monica: Is it the Italian guy? Monica: He's so cute. Monica: Oh look, the pool table's free. Rack 'em up. I'll be back in just a minute. Get ready for me to whip your butt. ",2.0,1.0,3.0,2.0,3.0
Chandler Bing,"Chandler Bing: Hey! Chandler Bing: So, it's a typical day at work. I'm inputting my numbers, and big Al calls me into his office and tells me he wants to make me processing supervisor. Chandler Bing: So.... I quit. Chandler Bing: Why? This was supposed to be a temp job! Chandler Bing: If I took this promotion, it'd be like admitting that this is what I actually do. Chandler Bing: It doesn't matter. I just don't want to be one of those guys that's in his office until twelve o'clock at night worrying about the WENUS. Chandler Bing: Weekly Estimated Net Usage Systems. A processing term. Chandler Bing: I don't know. That's the thing. I don't know what I want to do. I just know I'm not going to figure it out working there. Chandler Bing: Yeah... I just don't have that much cheffing experience. Unless it's an all-toast restaurant. ",-2.0,0.0,0.0,-1.0,-1.0
Monica Geller,"Monica Geller: Nothing. I just think it's nice when we're all here together. Monica Geller: (turns off the TV) Okay.. Monica Geller: Please, guys, we have to talk. Monica Geller: Alright, we have to talk. Monica Geller: Okay. It's-it's about Alan. There's something that you should know. I mean, there's really no easy way to say this.. uh.. I've decided to break up with Alan. Monica Geller: No, nononono.. it's just.. things change. People change. Monica Geller: Look, I- I could go on pretending- Monica Geller: -but that wouldn't be fair to me, it wouldn't be fair to Alan- It wouldn't be fair to you! Monica Geller: I'm sorry.. Monica Geller: I'll meet somone else. There'll be other Alans. ",0.0,0.0,1.0,0.0,-2.0
Joey,"Joey: (rushing in) Hey! Joey Tribbiani! I'm here! I'm here! Joey: Look at that, Charlton Heston eating a liquorice whip! Joey: (trying to act like he's not the one that stinks.) Whoa! Yeah, what the hell is that? What smells so bad? Joey: Y'know, I can see why you think that, but ah, actually, you know who I think it is? Joey: No-no, it's uh, it's Heston. ",-1.0,1.0,3.0,0.0,0.0
Phoebe,"Phoebe: All right, forget it, nevermind, you can have mine. Phoebe: (finishing removing her bra) Okay, there. ",3.0,1.0,2.0,1.0,2.0
Monica,"Monica: Hey Gunther. Hi. (to Phoebe) I mean you're going out on a date with the noisy guy upstairs? Monica: I know, he's too charming, but if you two start going out, then it's just gonna make it so much harder for me to hate him. Monica: Joey, where are the Jell-o shots? Monica: (to Chandler) Stick out your tongue. Monica: Oh my!! ",-2.0,1.0,1.0,0.0,1.0
Joey Tribbiani,"Joey Tribbiani: Monica, relax, go get a beer. Joey Tribbiani: Who said it was for you? Joey Tribbiani: You're kiddin'. ",1.0,-1.0,2.0,-1.0,0.0
Chandler,"Chandler: Did she call? Chandler: All right, maybe I should call her. Chandler: Well, yeah, but y'know, what-what if I was wrong? Chandler: Well y'know, what if she didn't actually sleep with the guy? ",1.0,0.0,1.0,1.0,-3.0
Eddie,"Eddie: Hey Chan, is that Joey guy gonna come by and pick up his moose hat or should I just toss it out? Eddie: Nice to meet ya. Eddie: At the uh, supermarket, in the uh, ethnic food section. I helped him pick out a chorizo. ",2.0,2.0,0.0,2.0,1.0
Chandler,"Chandler: Yeah, and at the end of the play, he, he got up y'know, and he just started like, (claps his hands) banging his hands together! Chandler: Ross, don't. Ross! ",2.0,0.0,3.0,2.0,1.0
Richard,"Richard: Ooh, duct tape. Was I supposed to bring something too? Richard: You're strict. Richard: You know, I like the way you have efficiently folded this tab under. See in a tape emergency you could shave valuable seconds off your time. Richard: If it's not a right angle, it is a wrong angle. Richard: Thank you. Richard: You're gonna do what to my clocks. Richard: Well, I'm confused. I thought we shared time. Richard: Because it's in a slightly different time zone than the kitchen. Richard: No come on. Come on tell me. Richard: Come on. Richard: No that's not true. That is not true. Richard: Yeah. ",1.0,-1.0,1.0,1.0,0.0
Rachel Green,,1.0,0.0,1.0,0.0,0.0
Rachel Green,"Rachel Green: Oh. Rachel Green: Is Ross here? Rachel Green: Oh really, OK. [shows Monica her tattoo] Rachel Green: What? You didn't get one. Rachel Green: That is not a tattoo, that is a nothing. I finally got her back in the chair, bairly touched her with a needle, she jumped up screaming, and that was it. Rachel Green: Oh, what a load of crap. That is a dot. Your mother is up in heaven going, 'Where the hell is my lily, you wuss?' OK, Phoebe, that is not a tattoo, this is a tattoo. [she bends over and bears her tattoo right when Ross returns] Rachel Green: Maybe. But just a little one. Phoebe got the whole world. Rachel Green: Well? ",3.0,1.0,3.0,1.0,2.0
Chandler Bing,,1.0,1.0,1.0,1.0,1.0
Joey,"Joey: Hey! Y'know how we ah, save all those chopsticks for no reason we get when we get Chinese food? Joey: Well, now we got a reason. Joey: Well, we're fashioning a very long poking device. Joey: Hey uh, what's a matter? Joey: Oh my God, is she going back to him? Joey: What are you ah, what are you gonna do? ",-1.0,0.0,0.0,2.0,0.0
Barry,"Barry: C'mon in. Barry: Yeah! It's fine, it's fine. Robbie's gonna be here for hours. Barry: So, how ya doin? ",2.0,1.0,3.0,2.0,0.0
Monica Geller,"Monica Geller: I'm sure everything's fine. Has her water broke yet? Monica Geller: Joey, what are you gonna do when you have a baby? ",3.0,3.0,2.0,2.0,3.0
Phoebe,"Phoebe: Okay. Phoebe: Oh! Ooh! Umm! Phoebe: Hey, why don't you? Phoebe: Uh-huh, yeah! Phoebe: No, I'm really okay with this. Y'know why? 'Cause look at them, and I made that, so... I know it's gonna be like a million times harder to give up a baby but, oh my God, it's gonna feel like a million times better, right? I wanna do this. (To Frank and Alice) I wanna carry your baby. ",3.0,3.0,0.0,2.0,1.0
Rachel,"Rachel: No! Put that box down! We are not going anywhere! This is my apartment and I like it! This is a girl's apartment! That is a boy's apartment, it's dirty and it smells. This is pretty. It's-it's so pretty! And look, and it's-it's purple! And I'm telling you, you with the steady hand, I am not moving, and now I have got the steady hand. (She holds out her hand, which is shaking uncontrollably.) Rachel: That's right! You do what the hand says! Rachel: How did it go? ",-2.0,-1.0,2.0,-1.0,-3.0
Chandler Bing,"Chandler Bing: Well, in spite of the yummy bagels and palpable tension, I've got pants that need to be altered. ",0.0,2.0,3.0,1.0,2.0
Phoebe,"Phoebe: Well, why are you doing this anyway? Phoebe: You're kidding! And he plays rugby?! That's so funny. (Realises) Ohh! I see how you did that. All right. ",3.0,-1.0,3.0,0.0,0.0
Monica Geller,Monica Geller: Why don't you just take it with you? Monica Geller: Why don't you just call her? ,2.0,1.0,1.0,2.0,2.0
Janice,"Janice: (to butcher) No, thank you. (Chandler makes a sound and she notices him) Chandler! Janice: What are you doing here? Janice: Are you being British?! Janice: Why are you shopping here? You don't live in this neighborhood. Were you here waiting for me? Janice: Barley? What kind of party serves barley? Janice: Where is this party? Janice: Who's party is it? ",2.0,0.0,2.0,1.0,1.0
Phoebe Buffay,"Phoebe Buffay: ...Then I've already seen this one! (Turns off the TV.) Phoebe Buffay: She's already fluffed that pillow... Monica, you know, you've already fluffed that- (Monica glares at her.) -but, it's fine! Phoebe Buffay: Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way. ",1.0,0.0,2.0,1.0,-1.0
Monica Geller,"Monica Geller: Uh, so, uh, Rach, uh... do you wanna save this wrapping paper, I mean, it's only a little bit torn... so are you gonna go for it with Ross or should I just throw it out? Monica Geller: Oh my God, me too! Oh! Oh, we'd be like friends-in-law! Y'know what the best part is? The best part is that you already know everything about him! I mean, it's like starting on the fifteenth date! Monica Geller: Another good point. Monica Geller: Why isn't it working out? Monica Geller: Is he not cute enough for you? Monica Geller: Does he not make enough money? ",1.0,1.0,3.0,2.0,1.0
Rachel Green,"Rachel Green: I'm okay. Rachel Green: What? Rachel Green: When I saw him get off that plane with her, I really thought I hit rock bottom. But today, it's like there's rock bottom, 50 feet of crap, then me. Rachel Green: Come on. How can I just tell him? What about Julie? Rachel Green: I don't know, I don't know. ",2.0,3.0,2.0,1.0,-1.0
