,HITId,chars,text,agr,cons,ext,open,stab
0,3QXFBUZ4ZKVDWDGRYO9CI4NSRT8GU0,Ross Geller,"<b>s01_e21_c14(0) for Ross Geller</b><br><br><b>Announcement</b>: This is the final boarding call for flight 67 to San Diego, boarding at gate 42A.<br><br><b>Phoebe Buffay</b>: Okay. Good-bye, little monkey guy. Alright, I wrote you this poem. Okay, but don't eat it 'till you get on the plane.<br><br><b>Ross Geller</b>: Aww. Thank you, Aunt Phoebe.<br><br><b>Phoebe Buffay</b>: Oh!<br><br><b>Chandler Bing</b>: Okay, bye, champ. Now, I know there's gonna be a lot of babes in San Diego, but remember, there's also a lot to learn.<br><br><b>Joey Tribbiani</b>: I dunno what to say, Ross. Uh, it's a monkey.<br><br><b>Ross Geller</b>: Just, just say what you feel.<br><br><b>Joey Tribbiani</b>: Marcel, I'm hungry.<br><br>",1.0,1.0,0.0,1.0,1.0
1,3CO05SML7VKO5HDPGSP4S1DSD890RX,Bonnie,"<b>s04_e01_c01(0) for Bonnie</b><br><br><b>Ross</b>: (surprised) Hi!<br><br><b>Bonnie, Rachel</b>: Hi!<br><br><b>Bonnie</b>: Rachel was just helping me out. My head got all sunburned.<br><br><b>Ross</b>: Awww.<br><br><b>Bonnie</b>: (to Rachel) Thanks a million.<br><br><b>Rachel</b>: Oh, you're welcome a million.<br><br><b>Bonnie</b>: (getting up and leaving) (to Ross) Okay, I'll see you in our room.<br><br>",1.0,1.0,0.0,1.0,1.0
2,3E9VAUV7BWTT3VNTMPERP3I2PM6YA4,Janice,"<b>s01_e14_c08(0) for Janice</b><br><br><b>Janice</b>: Oh, I miss you already. Can you believe this happened?<br><br><b>Chandler Bing</b>: No... no! And yet it did. Good-bye, Janice.<br><br><b>Janice</b>: Kiss me!<br><br>(Janice kisses him. Monica comes out for the newspaper.}<br><br><b>Monica Geller</b>: Oh, Chandler, sorry.<br><br>(Janice turns around, Monica sees who it is.)<br><br><b>Monica Geller</b>: Ohhh, Chandler, sorry! Hey, Janice.<br><br><b>Janice</b>: Hi, Monica.<br><br>",0.0,0.0,0.0,1.0,0.0
3,3WGZLY9VCH1CMWZNTV7ZGR26HA18D3,Rachel Green,"<b>s01_e19_c06(0) for Rachel Green</b><br><br><b>Ross Geller</b>: (Angry) I- I- I ca- I can't believe this. I mean, all I asked you to do was keep him in the apartment.<br><br><b>Rachel Green</b>: I know, I know, I'm sorry-<br><br><b>Ross Geller</b>: No, y'know what, I guess it's partially my fault. Y'know, I shouldn't've, uh, asked you to start off with a monkey. I should've started you off with like a pen or a pencil.<br><br><b>Rachel Green</b>: (Tearfully) Ross, I'm doing everything that I can, I've got everybody looking for him, and I- (Door buzzer goes and she runs to get it) Oh! Who is it?<br><br><b>Intercom</b>: Animal Control.<br><br><b>Rachel Green</b>: See? I've even called Animal Control!<br><br><b>Ross Geller</b>: You called Animal Control?<br><br><b>Rachel Green</b>: Uh-huh... why... do you not like them?<br><br><b>Ross Geller</b>: Marcel is an illegal exotic animal. I'm not allowed to have him in the city. If they find him, they'll take him away from me.<br><br><b>Rachel Green</b>: O-okay, now see, you never ever ever told us that...<br><br><b>Ross Geller</b>: That's right, I.. 'cause I didn't expect you were gonna invite them to the apartment!<br><br>(A knock on the door. Rachel swiftly opens it)<br><br><b>Rachel Green</b>: Hi, thanks for coming.<br><br><b>Luisa</b>: (Animal Control) Somebody called about a monkey?<br><br><b>Rachel Green</b>: Oh, y'know what? That was a complete misunderstanding! (Ross puts his arms around her and they act all sweetness and light)<br><br><b>Ross Geller</b>: Yeah, we thought we had a monkey, but we-we didn't.<br><br><b>Rachel Green</b>: Turned out it was a hat.<br><br><b>Ross Geller</b>: Cat!<br><br><b>Rachel Green</b>: Cat! What'm I saying? Cat!<br><br>(Luisa nods, but then Monica and Phoebe run in)<br><br>",1.0,1.0,1.0,1.0,1.0
4,3TC2K6WK9GHPJM17W6NIK8B2KJC28O,Phoebe Buffay,"<b>s01_e04_c07(0) for Phoebe Buffay</b><br><br><b>Monica Geller</b>: You should feel great about yourself! You're doing this amazing independence thing!<br><br><b>Rachel Green</b>: Monica, what is so amazing? I gave up, like, everything. And for what?<br><br><b>Phoebe Buffay</b>: You are just like Jack.<br><br><b>Rachel Green</b>: ...Jack from downstairs?<br><br><b>Phoebe Buffay</b>: No, Jack and the Beanstalk.<br><br><b>Monica Geller</b>: Ah, the other Jack.<br><br><b>Phoebe Buffay</b>: Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..<br><br><b>Rachel Green</b>: Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-<br><br><b>Phoebe Buffay</b>: Oh, see, Jack did love the cow.<br><br><b>Rachel Green</b>: But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...<br><br><b>Phoebe Buffay</b>: Floopy?<br><br><b>Rachel Green</b>: Yeah.<br><br><b>Monica Geller</b>: So what, you're not the only one. I mean, half the time we don't know where we're going. You've just gotta figure at some point it's all gonna come together, and it's just gonna be... un-floopy.<br><br>",1.0,1.0,1.0,1.0,1.0
5,3HFWPF5AK9YWNOCZE47SK9GV2RJ3S0,Ross Geller,"<b>s01_e17_c13(0) for Ross Geller</b><br><br><b>Ross Geller</b>: He looks so tiny.<br><br>(The door bursts open, and Joey and Phoebe rush in.)<br><br><b>Joey Tribbiani</b>: We just got the message.<br><br><b>Phoebe Buffay</b>: Is he alright?<br><br><b>Ross Geller</b>: Yeah. The doctor got the 'K' out. He also found an 'M' and an 'O'.<br><br><b>Chandler Bing</b>: We think he was trying to spell out 'MONKEY.'<br><br>(Ross does not approve of Chandler's daft theory.)<br><br><b>Ross Geller</b>: Well, the doctor says he's gonna be fine, he's just sleeping now.<br><br>",0.0,1.0,0.0,1.0,1.0
6,37SOB9Z0SSC9JBH9UVAR8N20AA1L3K,Big Bully,"<b>s02_e21_c05(0) for Big Bully</b><br><br><b>Chandler Bing</b>: Hey.<br><br><b>Ross Geller</b>: What?<br><br><b>Chandler Bing</b>: Do you have to be a Century 21 real-estate agent to get to wear those really cool jackets?<br><br><b>Ross Geller</b>: Do you say this stuff to girls?<br><br><b>Big Bully</b>: Hehehehey, isn't that the guy who used to wear your hat?<br><br><b>Little Bully</b>: And look where they're sitting.<br><br><b>Ross Geller</b>: You're joking, right? You guys just walked through the door.<br><br><b>Big Bully</b>: Maybe we didn't make it clear enough.<br><br><b>Little Bully</b>: Yeah.<br><br><b>Big Bully</b>: This couch belongs to us.<br><br><b>Chandler Bing</b>: Alright, I'll tell you what, you call the couch and then, and then we'll call the couch, and we'll see who it comes to.<br><br><b>Big Bully</b>: You know what I keep wondering? Why you two are still sitting here.<br><br><b>Ross Geller</b>: Alright, that's it. I've had enough of this, alright. Gunther, these guys are trying to take our seat.<br><br><b>Gunther</b>: Fellas, these guys were here first.<br><br><b>Big Bully</b>: Oh, sorry, I didn't realize.<br><br><b>Little Bully</b>: Sorry.<br><br><b>Gunther</b>: There you go.<br><br><b>Ross Geller</b>: Thank you Gunther. We didn't want to have to go and do that.<br><br><b>Little Bully</b>: He told on us?<br><br><b>Big Bully</b>: You told on us?<br><br><b>Ross Geller</b>: Well pal, you didn't give me much of a choice. [flicks the ends of the big bully's tie]<br><br><b>Chandler Bing</b>: Don't play with his things.<br><br><b>Ross Geller</b>: I know.<br><br><b>Big Bully</b>: Alright, let's take this outside.<br><br><b>Ross Geller</b>: Let's, let's take this outside? Who talks like that?<br><br><b>Big Bully</b>: The guy that's about to kick your ass talks like that.<br><br>",0.0,0.0,1.0,1.0,0.0
7,3X878VYTIEX5K280AWAJQR9WIY4F7H,Ross,"<b>s04_e13_c07(0) for Ross</b><br><br><b>Phoebe</b>: Ooh, what do I smell?<br><br><b>Joey</b>: I don't know, it smells good.<br><br>(He goes over and opens the door to reveal Monica holding a plate of cookies and a fan to blow the smell across the hall.)<br><br><b>Monica</b>: Fresh cookies! Hot from the oven!<br><br><b>Phoebe</b>: Ooh! (They all go over to her apartment)<br><br><b>Monica</b>: Please, have some!<br><br><b>Ross</b>: Oh, yumm!<br><br><b>Monica</b>: Yeah, I've just been fiddling around in here making delicious treats for everyone.<br><br><b>Joey</b>: (Holding a magazine) Wow! The new Playboy!<br><br><b>Monica</b>: Yeah, it's just something I picked up.<br><br><b>Ross</b>: Cookies and porn, you're the best mom ever!!<br><br>(Rachel laughs hysterically for no reason.)<br><br><b>Phoebe</b>: What? What?<br><br><b>Rachel</b>: Well, it was just something Josh said about v-necks, but you had to be there.<br><br><b>Ross</b>: Yeah, how does Jason look in a v-neck?<br><br><b>Rachel</b>: It's Joshua.<br><br><b>Ross</b>: Oh, whatever. (Laughs and gives Joey the thumbs up heading back to his apartment. Joey follows him)<br><br>",0.0,0.0,1.0,1.0,0.0
8,37ZQELHEQ0D0TXS4CQVLHEFVFWINM4,Ross Geller,"<b>s02_e09_c09(1) for Ross Geller</b><br><br><b>Monica Geller</b>: Really? I'm perfectly comfortable. [one of the guest opens the refrigerator] Hey, hey, hey, get in line buddy, I was next. [she opens the refrigerator and leans into it]<br><br><b>Rachel Green</b>: [answering the door] Mr. Treeger.<br><br><b>Mr. Treeger</b>: Uhh, you said there was a party.<br><br><b>Rachel Green</b>: Oh, yeah, well hey, welcome to our sauna.<br><br><b>Mr. Treeger</b>: Ahh, is it hot? My body always stays cool, probably 'cause I have so much skin. Hey, cheese! [Ross is speaking to Monica and Rachel about tipping the super.]<br><br><b>Ross Geller</b>: Alright, alright, here's the chance. Monica give him cash, Rachel give him your earrings. Something, now, anything.<br><br><b>Monica Geller</b>: No, I will not cave.<br><br><b>Rachel Green</b>: Yeah, I'm with Mon.<br><br><b>Ross Geller</b>: Alright, alright, you know how you say I never seize the day? Well, alright, even though he's your super, I'm seizing. [approaches Mr. Treeger] Mr. Treeger, here is 50 bucks, merry Christmas. [Gives him the cash.]<br><br><b>Mr. Treeger</b>: Oh wow, I didn't get you anything. Here's five back.<br><br><b>Ross Geller</b>: No no, no, that, that's your Christmas tip, alright. Oh, hey, do you think there's a chance you could fix that radiator now?<br><br><b>Mr. Treeger</b>: No can do, like I told the girl, I can't get a new knob until Thursday.<br><br><b>Monica Geller</b>: Ross.<br><br><b>Ross Geller</b>: Yeah.<br><br><b>Monica Geller</b>: [to Ross] Looks like he's playin' baseball.<br><br><b>Ross Geller</b>: You mean hardball?<br><br><b>Monica Geller</b>: Whatever.<br><br><b>Rachel Green</b>: What'cha gonna' do?<br><br><b>Ross Geller</b>: Excuse me, I'm seizing. Mr. Treeger, here's another 50, happy Hanukkah. Will uh, will this help with the knob getting?<br><br>",1.0,1.0,1.0,1.0,1.0
9,3L1EFR8WWTK9YLWTPT834N02DTY9F3,Joey Tribbiani,<b>s01_e20_c07(0) for Joey Tribbiani</b><br><br><b>Monica Geller</b>: Brrrrrrr!<br><br>(Chandler clutches at his phone before realising.)<br><br><b>Chandler Bing</b>: Hell is filled with people like you.<br><br><b>Joey Tribbiani</b>: (entering) He's back! The peeper's back!<br><br>(Rachel enters from her room.)<br><br><b>Joey Tribbiani</b>: (ducking) Get down!<br><br>,1.0,1.0,1.0,0.0,1.0
